
"1909873074906055081","2025-04-09T07:36:39.000Z","91","Sama sekali kebijakannya tidak untuk kesejahteraan rakyat.Rakyat terus2an di zolimi! Jangan mengulang masa lalu yang sudah di koreksi oleh sejarah.Lantas RUU TNI POLRI KEJAKSAAN dan KUHAP untuk kepentingan siapa?
---
PPDS UNPAD Jumbo Sinta Apel Pegawai Prabowo
#TolakRUUKejaksaan https://t.co/76pKnTN44Z","1909873074906055081","https://pbs.twimg.com/ext_tw_video_thumb/1909873008870932481/pu/img/JfX4HaDwi-DBuxWR.jpg","","in","","2","4","33","https://x.com/_riverheaven/status/1909873074906055081","975389335775199232","_riverheaven"
"1909497069905362985","2025-04-08T06:42:32.000Z","1","2025? 02? RUU TNI? Dollar 17 ribu? 

Ngomong apa sih bro, ayo cepet sini ke warnet bantu chip war. Langsung ke pertigaan tabrak coro.

MAU FOKUS DPS!!!! https://t.co/JtBdg9u2Yu","1909497069905362985","https://pbs.twimg.com/media/Gn_ldmdboAADGxx.jpg","","in","","0","3","1","https://x.com/sohryu23/status/1909497069905362985","1440662914415820814","sohryu23"
"1909510250501378131","2025-04-08T07:34:55.000Z","5","Hampir tiga pekan sejak RUU TNI disahkan, penolakan masih terus disuarakan. Sejumlah warga bahkan menggelar aksi damai dengan mendirikan tenda di depan Gerbang Pancasila, Gedung DPR RI, Jakarta, Senin (7/4/2025). 

“Kita dari kolektif masyarakat sipil biasa aja, enggak terikat https://t.co/JZphfwU7mU","1909510250501378131","https://pbs.twimg.com/media/Gn_xXUHbYAAm-OU.jpg","","in","","0","2","4","https://x.com/kompascom/status/1909510250501378131","23343960","kompascom"
"1909592073042354663","2025-04-08T13:00:03.000Z","24","Polri Bantah Anggotanya Doksing WN Denmark karena Kritik RUU TNI 

https://t.co/cFaVxJzDnV","1909592073042354663","","","in","","1","7","11","https://x.com/TirtoID/status/1909592073042354663","4187275698","TirtoID"
"1909968611474612651","2025-04-09T13:56:17.000Z","7","Perbedaan ekspresi Prabowo ngomongin RUU TNI dengan RUU Polri... Beda atau beda??? 

A thread https://t.co/AJnlzM1TyN","1909968611474612651","https://pbs.twimg.com/media/GoGSUwnaEAA3kpU.jpg","","in","","0","1","2","https://x.com/officialfgmedia/status/1909968611474612651","1808408529734361091","officialfgmedia"
"1909409629408575595","2025-04-08T00:55:05.000Z","0","Blak-Blakan! 3 jam Presiden Prabowo Jawab Para Pemred: RUU TNI hingga Perang Dagang Trump! 

Selengkapnya di Youtube Channel KompasTV https://t.co/kbYiCsGfrG https://t.co/QA7BMIl47y","1909409629408575595","https://pbs.twimg.com/media/Gn-V70lacAAsXp8.jpg","","in","","0","1","1","https://x.com/KompasTV/status/1909409629408575595","71436318","KompasTV"
"1909527876875296857","2025-04-08T08:44:57.000Z","128","RUU TNI, POLRI, KEJAKSAAN dan KUHAP dikebut, sperti balapan liar yang ugal²an. RUU di buat untuk kepentingan siapa? Lembaga Kejaksaan dengan Dominus Litiesnya akan jadi lembaga kepentingan penguasa.
--
Dasco 1 USD MIE AYAM Coretax Pak SBY Bencong Polri 

#TolakRUUKejaksaan https://t.co/fUKvjNQyH9","1909527876875296857","https://pbs.twimg.com/ext_tw_video_thumb/1909527723015651329/pu/img/3Z0R85FLLyqRIn_c.jpg","","in","","3","4","62","https://x.com/_riverheaven/status/1909527876875296857","975389335775199232","_riverheaven"
"1909841886128329007","2025-04-09T07:40:05.000Z","69","@BudiBukanIntel “Bukan bermaksud membela RUU TNI” 🙏🏻🙏🏻

Imagine giving aparat benefit of the doubt https://t.co/aRcqAlBxql","1909873937099768308","https://pbs.twimg.com/media/GoE8KaubwAMrA2B.jpg","BudiBukanIntel","in","","5","3","12","https://x.com/asamlucknut/status/1909873937099768308","763370137466638336","asamlucknut"
"1909837191892828279","2025-04-09T05:14:04.000Z","35","Dibombardir pertanyaan oleh 6 pimred, Prabowo jawab soal urgensi UU TNI yang buru2 disahkan &amp; gak transparan, #IndonesiaGelap #KaburAjaDulu, RUU Polri, hingga tarif impor Trump. https://t.co/MeTXC6q6sC","1909837191892828279","https://pbs.twimg.com/media/GoEazFoaIAAt0iy.jpg","","in","","2","1","8","https://x.com/catchmeupco/status/1909837191892828279","1162545299614662656","catchmeupco"
"1909621300286701892","2025-04-08T14:56:11.000Z","439","Dari sekian Banyak pertanyaan yg dberikan pdnya jwbnnya KOSONG..!!

Hanya ada suara Meninggi tanpa ada Jawaban yg pasti..

Penolakan UU TNI, RUU Polri hingga RUU Kejaksaan brrti uda benar.
Wong Presidennya aja ngejelasinnya Muter2 gini👇😵‍💫
 https://t.co/ahiyiPN98j","1909621300286701892","https://pbs.twimg.com/ext_tw_video_thumb/1909618659653566468/pu/img/UP_TxFMAA3h2-7WK.jpg","","in","","9","71","193","https://x.com/AirinDatangLagi/status/1909621300286701892","228628424","AirinDatangLagi"
