conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1909770568200863803,2025-04-09T00:49:19.000Z,1538,"Gue itu kaget waktu diundang bukber, soalnya lagi getol2nya kritik Pak @aniesbaswedan mulai dari soal Ormas hingga RUU TNI. Ini ketawa2 pun gara2 gue ngomong “Saya akan tetap mengkritisi Bapak ya,” yang dijawab “Hahaha iya dong, ini yg membedakan kita dengan yg lain.” https://t.co/Y54uRuBag3",1909770568200863803.1,https://pbs.twimg.com/media/GoDeMntbwAES6_R.jpg,Unnamed: 6,in,Unnamed: 8,3,12,153,https://x.com/kozirama/status/1909770568200863803,53360203,kozirama,1908855321931796780,2025-04-06T12:12:28.000Z,7624,"Wawancara dengan 6 pemimpin redaksi, yg dimoderatori host dari TVRI ini akan tayang besok sore di media masing2. Wawancara berlangsung 3 jam. Full on the record. Soal demonstrasi, RUU TNI, RUU Polri sampai kepala babi dan komunikasi pemerintah ditanyakan. Termasuk Tarif Trump😊",1908855321931796780.1,Unnamed: 5,411,366,1346,https://x.com/unilubis/status/1908855321931796780,85087815,unilubis,1912767564188418476,2025-04-17T07:18:19.000Z,11570,Presiden Prabowo Subianto telah resmi mengesahkan RUU TNI sejak sebelum lebaran 2025. Hal ini dikonfirmasi oleh Menteri Sekretaris Negara Prasetyo Hadi. https://t.co/Aa7wQEaPAP,1912767564188418476.1,https://pbs.twimg.com/media/GouC7OEacAIoTQ_.jpg,1170,739,2582,https://x.com/asumsico/status/1912767564188418476,829366551446818816,asumsico
1.9039514445267072e+18,2025-03-23T23:26:12.000Z,0.0,gimana yaaa temen ku yang kebetulan anggota tni aktif malah balik nyalahin rakyat “loh itu ruu polisi udh sah kok ga diprotes juga?” kek… kenapa jadi balik nyalahin rakyat? https://t.co/hkCDGEHyRe,1.9039514445267072e+18,https://pbs.twimg.com/media/GmwxvzLbYAExLNp.jpg,,in,,0.0,1.0,0.0,https://x.com/syluffs/status/1903951444526707176,1448522970.0,syluffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038583591216701e+18,2025-03-23T17:16:19.000Z,0.0,"hey, are you crazy?pertanyaannya adalah,kenapa km ga menggunakan internet mu dg baik?😭😭😭
ni gw kudu jelasin masalah ruu tni,dsb pke bahasa apaan guysss😭bru permulaan aja udh debat,gw g sabar makanya lgsg naik pitam😭 https://t.co/NGf96M13d2",1.9038583591216701e+18,https://pbs.twimg.com/media/GmvdDMGa8AEWFN3.jpg,,in,,1.0,0.0,0.0,https://x.com/akufraya/status/1903858359121670157,1.507690682290348e+18,akufraya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038510848480013e+18,2025-03-23T16:47:25.000Z,7.0,"Beredar kabar lima orang mahasiswa yang terlibat aksi demo menolak pengesahan RUU TNI ditahan di Polsek Cakung, Jakarta Timur. Mereka bahkan dimintai uang tebusan sebesar Rp12 Juta agar bebas.

#ruutni #polsekcakung #jakartatimur #lip6alv https://t.co/JHPaEchluR",1.9038510848480013e+18,https://pbs.twimg.com/media/GmvWcweX0AAeSOT.jpg,,in,,0.0,0.0,2.0,https://x.com/liputan6dotcom/status/1903851084848001215,47596019.0,liputan6dotcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038266327264548e+18,2025-03-23T23:25:47.000Z,2.0,"@badut_hts @tanyarlfes @AskPerplexity Polisi menyita motor saat demo RUU TNI di Malang 23 Maret 2025 kemungkinan untuk menjaga ketertiban dan keamanan karena aksi berubah ricuh, ada pelemparan Molotov. Tindakan ini bisa dibenarkan jika sesuai hukum untuk cegah kekerasan, tapi jadi kontroversial jika ada",1.9039513376051773e+18,,badut_yujiem,in,,0.0,1.0,0.0,https://x.com/grok/status/1903951337605177396,1.7206651831889224e+18,grok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039455495581862e+18,2025-03-23T23:02:47.000Z,1.0,Sekedar info aja. Biang kerok adu domba rakyat dgn TNI itu Trah Mulyono via RUU TNI yg pro mulyono. TNI yg waras menolak RUU tsb. Awasi RUU Polri yg jauh lebih berbahaya.,1.9039455495581862e+18,,,in,,0.0,0.0,1.0,https://x.com/Risqimuslim/status/1903945549558186160,620637353.0,Risqimuslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039250178781555e+18,2025-03-23T21:41:12.000Z,1.0,"1 hari setelah disahkan RUU TNI, baru 1 hari loh. stay safe all",1.9039250178781555e+18,,,in,,0.0,0.0,0.0,https://x.com/omsentottttt/status/1903925017878155458,2584923842.0,omsentottttt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038946446369956e+18,2025-03-23T19:40:30.000Z,4.0,Tahukah anda tentang RUU TNI yang baru disahkan https://t.co/9rC5Mw6yVi,1.9038946446369956e+18,https://pbs.twimg.com/media/Gmv-ExVbwAAJm5J.jpg,,in,,0.0,0.0,0.0,https://x.com/takalar_kodim/status/1903894644636995618,1.0270333544645181e+18,takalar_kodim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038900116297523e+18,2025-03-23T19:22:05.000Z,1.0,"Slamet Ginting : RUU Polri berbahaya jadi lembaga Superbody. Darurat RUU Polri &amp; TNI. ‼️‼️‼️
#TolakRevisiUUTNI
#TolakRevisiUUPolri

https://t.co/Fh3YLBCEEI",1.9038900116297523e+18,,,in,,0.0,0.0,0.0,https://x.com/RuangRenungOpa/status/1903890011629752350,1.5328861259580416e+18,RuangRenungOpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039524284809915e+18,2025-03-23T23:30:07.000Z,7.0,"ruu tni = orde baru, ya iya kan??? karena ruu tni memang berhubungan sama runtuhnya orde baru masa gak ngerti sih? noh salah satu agenda reformasi menghilangkan dwifungsi ABRI. nilai sejarahnya jelek pasti kmuh 1!1!1! :P",1.9039524284809915e+18,,,in,,0.0,0.0,0.0,https://x.com/boogf__/status/1903952428480991370,1.877921482573222e+18,boogf__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039576880459653e+18,2025-03-23T23:51:01.000Z,0.0,"RUU polri dampaknya lebih parah, kalo RUU TNI aja gak bisa kita batalin bakalan makin sulit buat gagalin RUU Polri",1.9039576880459653e+18,,,in,,0.0,0.0,0.0,https://x.com/ulxlittlesecret/status/1903957688045965423,1.2873238306423398e+18,ulxlittlesecret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
